,Complaints,Emotion
15323,lvnv funding   placed collection account credit report valid not mine i contract agreement lvnv funding this originally came resurgent use multiple company name different addresse trick knowing respond properly upon initial receipt notice i sent cease desist letter alleged account back even though i done illegally placed collection account report i attached copy letter i sent originally i also disputed credit bureau lvnv capitol cease desist letter i want removed credit reporting account immediately,Fear
842,i victim fraud year i recently checked credit report noticed lot error fraud account i send identify theft report letter bureau received update report,Fear
13174,i made deposit mobile app money order the deposit went i want online next day check balance find i could log account this mobile app website i called number told ca give information account i need go branch i planning banking app atm since bank limited hour i time middle day go at branch i walked said fraudulent activity account locked safety they said balance significantly lower amount i expected i told branch i walked home branch i needed go another branch i never this initial news worried at second branch located  washington i given runaround one could provide useful information finally one employee able tell fraudulent activity mobile deposit i made account since adding money account fraud bank west advertises time mobile deposit adding insult injury every time i see i asked bank money order valid said sure we call   find valid idea i meanwhile money limbo holiday season i planning using money  gift i asked bank deposit money order clerk clueless saying i need clear fraud actually fraud account finally i suggested depositing    account bank i looking switch agreed i planned closing account due lack satisfaction experience fact nearly month later i still could access website unfortunately i got letter bank west yesterday saying closing account provide reason this likely complaint i filed website poor review i gave survey i understand bank retaliate customer like depositing money order mobile app i looking forward using convenient location unfortunately business left choice,Fear
2860,after a careful review of my credit report i have identified inaccurate account that are derogatories and delinquent that i have no knowledge of and were not authorized by me please removed those inaccurate account that have been causing damage to my credit file it is illegal to have such account reporting inaccurately on one credit conduct an investigation into this matter and have the account purged off my credit file,Fear
12626,about month ago i tried unfreeze experian account online service working http i correct info entered including pin told i could unfreeze submitting bunch paper work mail i called extended hold i finally got speak person this person allowed unfreeze phone said i able use online service to avoid problem future i decided use service provide  website unfortunately i got notice free year service expires week so i tried account using online service got message saying i submit bunch paperwork mail i fed fact online service working i correct info including pin number,Fear
10521,i negotiation year during time i attempted multiple loan modification well multiple settlement also time mortgage changed ownership well apparently location cooper proved fraudulent conflicting information regarding address mortgage in document sent mortgage servicer cooper cooper state record indicate     trustee        current owner loan with contact information          md   the  county clerk office record assignee      a trustee for        mortgage certificate series  at      tx  cooper attorney cooper associate confirmed writing correct address mortgage a simple  search show address      tx  fact belong   nationstar dba cooper the owner address      tx  fact     facility manager    confirmed writing    sole tenant building address in addition origination mortgage alteration note took place after origination loan note stamped name alleged robo signer    assistant vice president     this stamp accompanied notary stamp confirm date validity appears above signature defendant borrower a specified uniform commercial code alteration alteration mean unauthorized change instrument purport modify respect obligation party ii unauthorized addition word number change incomplete instrument relating obligation party b except provided subsection c alteration fraudulently made discharge party whose obligation affected alteration unless party assent precluded asserting alteration no alteration discharge party instrument may enforced according original term,Fear
7187,i would like complain unknown account profile i victim identity theft someone used personal information filed account this inaccurate information belong i related account therefore i asking remove soon possible thank,Fear
10386,commonwealth financial sent later hospital bill  and said account opened reported credit saying this debt mine,Fear
12983,paying loan interest continues loan i paying additional year this loan continued occur miscellaneous fee paying interest rate owing additional money life loan company practice i taking copy loan a lawyer  morning find i looking suing company protect others maybe using predatory practice attached document show loan completed i currently still owe  i called explanation late payment month behind charged additional interest onto loan i willing talk i speaking jag allowing use payment history see company listed banned due one theirpredatory loan practice protect young soldier may understanding loan understand company like i contacted regional acceptance corporation   would cancel fee,Happy
20650,on   i auto loan deleted credit now still reported credit deleted,Fear
21000,i know work i need done somehow corrected my name       oh  dob   i issue income affected  shutdown i caresact pub section codified fcra section f i f i i requesting accommodation i care protect integrity credit file american honda finance  account reporting day latesince requested assistance due pandemic i buying home month error definitely holding back process,Fear
21451,from discover credit card extensively used scammer i opened card mainly purpose balance transfer another card i set minimum amount pay back every month i barely used card pay attention billing statement it i found fraud amount card i contacted discover right away promised resolve within month returned amount disputed back card full amount discover still owed i never heard i thought i could move card used scammer charge continued occur well i reported issue discover asked new card company promised resolve by time overall charge discover later refunded remaining amount  was never received however discover charged previous disputed amount in i disputed third time amount charged promised help today i heard received response i called followed company least time i finished phone call discover representative told fraud department completed investigation one month ago determined charge liability in addition without new information i open another dispute however previous followup nobody told made progress case sudden telling i responsible charge we burdened extra pay fraudulently used we working hard pay debt situation like never achieve debt free life please consider complaint uphold justice,Fear
6315,  erroneously reporting incorrect information credit file they reporting new lates account closed year this beyond careless affecting credit i requesting remove lates old account  wife,Fear
19680,for month i disputing inaccurate information credit report from i tell letter never even opened i receive result mail,Fear
18521,this involves prior complaint  well fargo carried unauthorized transaction son account,Fear
216,i trying dispute account credit report impacting negatively the account report incorrect inconsistent i ask investigate account multiple time yet responded account verified accurate they havent example verified showed proof accuracy told communicated creditor reporting account below account                            ,Fear
11190,there public record consumer report i recognize i contacted court said information i gave match i never filed bankruptcy can please provide proof court public record,Fear
5316,dear sir    bought debt   see attached letter notice mention     buyer new owner debt nearly month later firm i hired settled resurgent capital service document show lnvn owner debt we settled payment ar e made time regularly ever since next payment scheduled after month inexplicably lvnv decides place negative mark credit report causing huge financial damage since i process refinancing cashing significant amount fund i spoken written multiple time resurgent personnel answer question i following the second page contact    clearly state negative mark reported case non fulfillment agreement agreement fulfilled therefore negative report credit file violation contract the company mentioned violated federal law fdcpa state unfair practice a collection agency ca engage unfair outrageous method collect debt for example cant add interest fee charge authorized original agreement state law the mentioned company indirectly causing significant addition charge personal financial life my current loss fund caused measure violates contract stipulated party i told resurgent representative six month time period since debt bought company start reporting credit bureau the statement denied later manager i never received communication     lnvn owner debt type role debt according letter   sent owner     i suggesting mentioned company change policy regard credit reporting never penalize party payment made negative mark credit file i asking mentioned company immediately remove negative mark credit file   cease unfair practice,Fear
2173,upon reviewed credit file appears  collection amount already settled it reappear credit file already settle creditor,Fear
12240,i victim identity theft the following account opened without knowledge consent authority i idea theft took place i knowledge suspect i receive money good service result identity theft,Fear
16789,on     received checking account despite knowledge consent before someone locked debit card  i called boa within couple minute waking  resolve transaction i forwarded several time finally told case opened new checkings account would set online id password would changed checkings account  withdrawn wait business day result case even entire time i spent boa transaction still processing i went visit bank person talk happened day parent money account taken well able get back within day i got case back   refunded money i apparently authorized i tried reopen case went local boa representative let call fraud service presence he recommended i ask opening police case would work nothing resolved apart boa saying i could send paperwork report fax i never got paperwork email physically i left physical bank called boa later day set call mom boa representative my mom representative discussed case concluded reevaluate case respond back end ,Fear
11899,on i paid  student loan this payment made manually phone i changed repayment due date the representative aes advised pay manually direct debit would applied however unauthorized withdrawal  taken checking account direct debit this wrongful transaction caused undue financial hardship i disputing period time i told representative   would take day receive refund my account wrongfully debited my right disallow refund sooner totally unjustified please investigate matter order receive speedy resolution situation i dire financial crisis need replacement fund soon first i going resolve problem allowing payment applied month  payment recanted decision way,Fear
19117,i started process conventional cash refinance today i told refinance would approved throughouth process i dealt misleading communication one point told amount loan would changed approximately i sent least four set closing disclosure full breakdown cost listing approximately fee i timely providing necessary document statement communication would go week time without hearing lender after lender tried drop loan amount  i told i want continue process already five half month within minute lender reached back told could run loan differen way loan amount went   minute this process cost almost full six month i could working someone actually wanted close loan caused financial hardship untold amount stress,Fear
10057,i filed chapter  bankruptcy  the bankruptcy included debt including mortgage during time i decided keep home continue making payment mortgage last year  i tried refinance home i couldnt lien property veripro solution this lien mortgage forgiven bankruptcy i contacted veripro solution negotiated pay at time i able obtain loan lack equity recently i tried obtain loan i equity i finance company willing work however veripro solution say i owe i dont understand came pay during pandemic i need refinance loan due financial circumstance veripro solution taking advantage bullying consumer,Fear
13853,i trying log myequifax morning wednesday the myequifax system tell account locked call customer care  the first two agent i talked customer care equifax put hold cut the third customer care agent sent link reset password this work he sent another password reset link said wait minute reset password i waited minute myequifax system took password change said account locked it said call customer care the customer care agent sent another password reset link said wait minute use i waited hour reset password tried log the myequifax system said account locked call customer care the agent customer care hung second i tried talking different equifax agent another department new identity protection product tried help eventually equifax phone system cut minute discussion before i cut agent said needed try find technician help when i trying get help matter disconnected numerous time i saw i send email issue the equifax system taken complaint assigned case  a time rep equifax tried call matter all i system complaint response experience hung disconnected agent numerous time a morning i log account equifax myequifax system being told equifax personal information already compromised equifax hack several year ago i need review data information response email sent i need help someone get critical matter corrected equifax,Fear
5086,mailed certified letter asking validation debt account certified mail delivered no validation received date called regard debt validation spoke   another woman supposedly supervisor refused provide name supervisor trying collect even though still within validation hold time i decided humor would settle certain amount i pay she started laughing said would even take money year i asked manager told one available would call back i also adv must cease desist phone communication i would hold she stated i ca hold started laughing then i hung call i sending another certified letter work afternoon advising since failed validate debt per initial letter debt must removed credit reporting,Fear
8413,i situation going credit file i address need updated my name    my address     oh  please delete remove the following     oh      oh      oh  i would like new report sent information updated correctly,Fear
4116,  fraudulent charge posted  i filed dispute     denied my claim  i filed dispute discover  discover denied my claim,Surprise
20720,i sparingly use pnc credit card easy see charge interest supposed hard got see i carried balance credit card week later i paid insurance charge even week old calculated interest day i chance pay bill following month i contacted customer service lady kept telling interest based average monthly balance make mathematical sense said fill complaint form know i would get call letter back whether call business practice i see want use milking every  customer something i want part i use credit card hopefully i get next class action lawsuit since seems popular the customer service pnc shameful i stop customer hope help others know kind company dealing want business beware use bank unless ok giving money,Fear
7663, experian  reporting incorrectly i  day past due  partial account number  these account reflect balance past due i contacted three bureau requested issue corrected this incorrect reporting harming credit score it impossible past due account balance past due,Fear
13466,a debit card linked one account bank america compromised used withdraw account the debit card pin used transfer another linked account using atm  store   ca shortly afterward card used make purchase pawn shop   ca the claim denied pin used ive customer  year even ira account ive never   nobody family ever   i dont banking convenience store atm im dismayed im much trouble obviously fraud i filed police report hometown  ca informed matter would likely turned   police department,Fear
9596,discover financial constantly reporting incorrect information credit file trying ruin credit  american  fraud protection agent constantly call phone refuse identify asked remove account refuse i going hire a lawyer sue company please remove account report,Fear
17974,this is my third complaint experian is claiming the submission could not have been sent by me the first time in my second complaint i submitted my driver license and social security card with confirmed address my driver license and social security card are attached below along with the letter sent over the last month to experian i have tried dispute incorrect information credit agency little progress i began process   disputed issue i contested still credit report after ordering detailed credit report i disputed record issuing company well credit agency self the debt agency creditor bureau unable find information proving account mine required section a a fcra one account question opened location time would impossible authorize after writing separate letter credit bureau i unable receive solution issue i asked several time proof account required section the credit bureau supposed debt credit company issued disputed item able provide relevant information regarding validity account a number account disputed relevant account history history began original dispute filed many account missing information several month none account verified required supporting documentation i wrote dispute follow letter hand last month mailed postage i copy letter correspondence credit bureau attached complaint identification attached below,Fear
15456,i attempted kohl pay account full every month providing banking information either i entered part information incorrectly problem transmission by time i learned account autopay evidently account become past due i pay every credit card i posse full every month direct withdrawal my account express typically balance totaling  month always paid full balance kohl account reported delinquent little amount trivial when i learned happened i paid kohl full annoyed way handled i closed account because i made concerted effort correct bank information pay kohl full timely manner reporting account delinquent credit bureau completely misleading late account entire credit report history i called kohl least two occasion asked remedy my credit score dropped approximately point issue kohl need responsible thing delete report credit agency i paid late they acting fashion reckless irresponsible,Fear
9320,i trouble removing fraudulent item credit report,Sad
8059,my name    i issue inaccurate address credit file under fair report credit act required comply my employer    the following address mine please      oh        oh         oh      oh      oh      oh       oh        oh       oh      oh       oh  there number mine please delete following number                ,Fear
14588,dear datax inc my name   i writing information held computer system datax interpreted furnisher consmers financial integrity fcra recently many consumer targeted identity breach personal information many outsourced it service center vendor put use considerably cut cost american labor in keeping information i believe company may received bad information including name personally identifiable information i received letter denial dated     behalf creditor    it amusing shock listing poor credit performance principal reason credit denial with score  i adamantly rejecting knowledge financial account held name reporting system this final demand remove report disputed enties complete timely update noting removal entreies within new report send immediately updated report listed address complaint i gong forward complaint well attorney general office within home state loking forward hearing updated report,Fear
16364,i victim identity theft i filed sent numerous complaint police report case number regard fraudulent account hard inquiry listed   equifax  credit report the following account hard inquiry fraudulent          i receiving harassing threatening telephone call representative   reference fraudulent account belong,Fear
5097,there many mistake appear report without understanding,Sad
5004,midland funding llc claim i owe continues report bogus debt totaling purchased    i disputed debt various channel including     each institution sided debt buyer claiming reporting accurate despite fact midland refuse provide concrete evidence corroborates fraudulent reporting collection effort i also wrote midland funding llc letter citing texas finance code demanding substantive proof debt allege i owe received response violation texas law i hoping cfpb resolve matter forcing midland funding immediately delete bogus collection credit report,Fear
8269,i never record i attempted get touch time request verification possession however neglected send important documentation demonstrate i actually record,Surprise
2172,purchased vehicle during negotiation repeatedly told sale person want pay month kept trying get u budge stated time time we finally agreed month month term we meet woman finance sign paperwork thing verbally tell u approved she tell u term includes apr many payment month payment she present u paperwork point sign give u digital keypad tell u sign i found odd nothing else ever discussed regarding loan term husband getting vehicle sensitive nature i want intervene i assumed negotiation already discussed would fine we received generic packet mail account number i able open account online pay bill learned monthly payment higher discussed right away husband called dealership discus first got sale person worked referred u finance person husband left message voicemail we hear back my husband called two time receive response i wrote review  couple site finally someone contacted u even write i sorry unable find database first last name listed database  it felt like trying make review look le legitimate i wrote someone via  messenger attempt messaging several different people would help day later finance person spoke husband basically said discussed sale ballpark signed paperwork nothing would u we find answer acceptable i wrote toyota corporate    first two time responded someone would touch last two response i backup email message  along previous written review deeply disappointing experience find upsetting one even trying resolve u,Fear
2595,equifax  incorrectly reporting account i shown authorized user   partial account number  please see page attached credit report i already called bank let know i never gave permission added authorized user account this incorrect reporting authorized user harming credit score line item need removed credit report i contacted bureau fix issue however i successful,Fear
12474,i received loan modification packet rushmore loan management service submitted documentation requested fax im review foreclosure sale date still showing online active im scared know expect company im working know willing follow california homeowner bill right act a part bailout united state government took   pumped billion treasury secretary   said much  would pumped     separate tarp fund given lender the guideline issued united state treasury set forth detailed process whereby participating servicer either action acting subsidiary must identify loan subject modification hamp program review response request modification individual homeowner collect financial personal information homeowner evaluate whether homeowner eligible loan modification hamp institute modified loan reduced payment amount per mandated formula effective trial period borrower eligible modification provide permanently modified loan homeowner comply requirement trial period whether homeowner qualifies modification participating servicers also required provide written notice every mortgage borrower evaluated loan modification whether borrower found eligible hamp associated directive also set prohibition certain conduct including demanding upfront payment order evaluated loan modification instituting continuing foreclosure borrower evaluated loan modification assigning single point contact maintaining adequate level communication borrower maintaining proper caseload ensure hamp objection met restriction way servicer may report borrower credit reporting agency all servicers systematically failed comply term hamp directive regularly repeatedly violated several prohibition now hamp expired due servicers prolonging modification proceeding alternative under hamp federal government incentivizes participating servicers make adjustment existing mortgage obligation order make monthly payment affordable servicers receive least hamp modification however incentive countered number financial factor make profitable mortgage servicer avoid modification continue keep mortgage state default distress push loan toward foreclosure this especially true case mortgage owned investor merely serviced servicer however incentive countered number financial factor make profitable mortgage servicer rushmore loan management service llc avoid modification continue keep mortgage state default distress push loan toward foreclosure this especially true case mortgage owned investor merely serviced service company service company carry significant risk loss event foreclosure california business profession code et also known california unfair competition law ucl prohibits act unfair competition including unlawful unfair deceptive business act practice well unfair deceptive untrue misleading advertising rushmore loan management service llc previous servicers investor conduct unlawful they illegally began prosecuted foreclosure based lien deed trust despite breach payment said lien they engaged uniform practice requesting unnecessary documentation seeking repetitive submission document never rendering decision activity provides basis unfair inquiry could deceive public place burdensome requirement served purpose provide basis either engaging dual tracking selling home denying loss mitigation option loan modification they failed properly consider loan modification application trying sell home on information belief rushmore loan management service llc significant majority loan function servicer economic factor discourage rushmore loan management service llc meeting obligation hamp facilitating loan modification include following rushmore loan management service llc may required repurchase loan investor order permanently modify loan this present substantial cost loss revenue avoided keeping loan state temporary modification lingering default b the monthly service fee rushmore loan management service llc servicer collect loan service pool loan calculated fixed percentage unpaid principal balance loan pool consequently modifying loan reduce principal balance result lower monthly fee servicer fee rushmore loan management service llc charge borrower default constitute significant source revenue aside income rushmore loan management service llc directly receives late fee process management fee often added principal loan amount thereby increasing unpaid balance pool loan increasing amount servicers monthly service fee entering permanent modification often delay servicers ability recover advance required make investor unpaid principal interest payment loan the servicers right recover expense investor loan modification rather foreclosure often le clear le generous fixed overhead cost involved successfully performing loan modification involve cost servicer additional staffing physical infrastructure expense property valuation credit report financing cost rather allocating adequate resource working diligently reduce number loan danger default establishing permanent modification rushmore loan management service llc serially strung delayed otherwise hindered modification process contractually undertook facilitate accepted  dollar united state rushmore loan management service llc delay obstruction tactic taken various form common result loan serviced rushmore loan management service llc im eligible permanent loan modification met requirement participation hamp received permanent loan modification iam entitled by failing comply california homeowner bill right specifically engaging unlawful practice dual tracking rushmore loan management service llc left state despair panic i seek loan modification rushmore loan management service llc home wrongfully oppressively illegally sold foot here information previous servicers happened i received loan modification package   proposal trial period payment month amount around amount used pay    my payment how afford pay could pay first place i spoken lot close friend situation around loan amount property size received good loan modification around month another friend received loan modification amount month how receiving loan modification help stay pay home even get close amount old payment please help getting hand im worried family losing home banking scam it seems transferring loan get away giving loan modification i sent rushmore loan management service full request mortgage assistance package received error but review i still show sale scheduled coming,Fear
15670,dear government official cfpb on i received call chase credit card visa transaction card appeared questionable someone gone      illinois   gas station  illinois made purchase totaled they also sent email day transaction    declined i knowledge told chase i destroy card new one sent day later i also told i liable anything happened i assumed matter resolved after week i received letter someone actually used credit card transaction i responsible charge this impossibility i card never possesion a week went i received call chase week transaction new card mailed i never received card i called  store  store manager told may video actual purchaser  i would go  illinois police station i live file report a case filed considerable time passed  police called  store told video record going back  and said nothing could done i called chase time period i told still investigation they sent actual receipt  store clearly show signature a week ago i received letter stating original decision would stand i responsible happened they also stating would reported credit bureau i never single problem life nature i dozen credit card account almost year card since  i never problem year my credit rating  i even know    never owned  phone i never possession card i never requested replacement card never received notification card coming my card due expire to address replacement card mailed why decline    transaction rest made day later list    transaction why  store ask id accepting card all  phone serial number traced done locate phone why would i make purchase new card would charged anyway use old card why think transaction suspicious notified on mailing chase list transacations report i responsible make sense done day card smaller charge chase making determination allowing encouraging criminal get away manipulating incompetent shoddy procedure i let stand pursue method legal avenue available i willing take lie detector test chase expense prove i knowledge happened i want chase show proof transaction mine video document if cant prove dismiss i also feel chase pursue matter sufficiently on    i talked length one agent requested copy signature id month later this also done a example puzzling operation i received pre approved application week ago open additional chase visa credit card why offering another card disputing current one reporting credit agency it also strange chase letting smaller charge dismissed large one  i also disappointed  police department fraud division aggressively investigating case i made attempt check progress informing investigated i gave document information i i sensed matter importance prompt action taken i charged many thousand dollar every year card chase profited association i loyal customer treated shoddily unfairly i punished ruining credit rewarding criminal product on i received call stating would reverse decision paying fraudulent charge implies i responsible i pay charge placed account request chase remove charge retract negative information sent credit reporting agency i want chase show proof i used card can please help resolving issue i tried everything i dont know turn next i visited met time chase bank official    illinois explain situation always referred phone number fraud division i would describe frustratingly detail beginning every time i retired  year old senior citizen widower fixed income chase treated poorly given run around ignored fact consideration this example large company lot power greed taking advantage people made rich thank              home additional information i record mailing communication chase support type card chase visa united milesge plus select  police dept case  chase fraud recovery team   ext   fraud specialist at chase fraud department i called chase    chase report illegal activity later one update card mailed i never received  all call recorded chase  fraud specialist at chase fraud department,Fear
